label	text
0	lovely and poignant . puts a human face on a land most westerners are unfamiliar with .
1	offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly tormented .
0	a surprisingly funny movie .
0	. . . begins with promise , but runs aground after being snared in its own tangled plot .
0	a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people .
1	the film virtually chokes on its own self-consciousness .
0	dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years .
0	liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .
0	looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon .
0	allen's funniest and most likeable movie in years .
0	a movie that will surely be profane , politically charged music to the ears of cho's fans .
1	has all the depth of a wading pool .
1	the timing in nearly every scene seems a half beat off .
1	in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title . . . amounts to surprisingly little .
1	the truth about charlie is that it's a brazenly misguided project .
0	a poignant , artfully crafted meditation on mortality .
1	j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl .
1	a one-trick pony whose few t&a bits still can't save itself from being unoriginal , unfunny and unrecommendable .
0	the film is all a little lit crit 101 , but it's extremely well played and often very funny .
1	like a can of 2-day old coke . you can taste it , but there's no fizz .
1	the movie's blatant derivativeness is one reason it's so lackluster .
1	it's tough , astringent , darkly funny and . . . well , it's also generic , untidy , condescending and mild of impact rather than stunning .
0	it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .
0	béart and berling are both superb , while huppert . . . is magnificent .
0	the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .
0	you may leave the theater with more questions than answers , but darned if your toes won't still be tapping .
1	the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect .
1	after sitting through this sloppy , made-for-movie comedy special , it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work .
0	despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience .
1	you see robin williams and psycho killer , and you think , hmmmmm . you see the movie and you think , zzzzzzzzz .
1	the thriller side of this movie is falling flat , as the stalker doesn't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .
0	funny but perilously slight .
1	home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do . besides , real movie producers aren't this nice .
0	in the affable maid in manhattan , jennifer lopez's most aggressive and most sincere attempt to take movies by storm , the diva shrewdly surrounds herself with a company of strictly a-list players .
1	scherfig , who has had a successful career in tv , tackles more than she can handle .
0	sem se preocupar em criar momentos melodramáticos para arrancar lágrimas do espectador , o pianista é um filme triste sem que , para isso , precise ser emocionante .
1	fear dot com is so rambling and disconnected it never builds any suspense .
0	an elegant , exquisitely modulated psychological thriller .
1	it treats women like idiots .
0	a haunting tale of murder and mayhem .
1	the film is itself a sort of cinematic high crime , one that brings military courtroom dramas down very , very low .
0	ultimate x is a ride , basically the kind of greatest-hits reel that might come with a subscription to espn the magazine .
0	to get at the root psychology of this film would require many sessions on the couch of dr . freud .
1	the film tries too hard to be funny and tries too hard to be hip . the end result is a film that's neither .
1	plodding , peevish and gimmicky .
0	ramsay succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer's memory .
1	so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated final draft computer program .
1	imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes .
0	bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .
0	sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .
1	the film contains no good jokes , no good scenes , barely a moment when carvey's saturday night live-honed mimicry rises above the level of embarrassment .
0	merchant effectively translates naipaul's lively mix of characters from the page to screen .
1	how inept is serving sara ? it makes even elizabeth hurley seem graceless and ugly .
0	adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .
0	williams plays sy , another of his open-faced , smiling madmen , like the killer in insomnia . he does this so well you don't have the slightest difficulty accepting him in the role .
0	the bourne identity shouldn't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood .
1	somehow both wildly implausible and strangely conventional .
1	a woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect .
0	this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .
0	the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from paul's perspective .
0	the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey .
0	by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way .
1	cattaneo should have followed the runaway success of his first film , the full monty , with something different .
1	the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .
0	one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .
0	though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .
1	there's not enough here to justify the almost two hours .
0	the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .
1	[t]oo many of these gross out scenes . . .
0	the movie's relatively simple plot and uncomplicated morality play well with the affable cast .
0	the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string . we're drawn in by the dark luster .
1	with the exception of mccoist , the players don't have a clue on the park . the acting isn't much better .
0	. . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .
1	nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .
1	what can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?
0	a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .
1	eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm doesn't do a load of good .
1	fans of the tv series will be disappointed , and everyone else will be slightly bored .
1	a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz .
1	the movie's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .
0	the film's appeal has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth .
0	[lawrence bounces] all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .
0	murderous maids has a lot going for it , not least the brilliant performances by testud . . . and parmentier .
1	the entire movie is about a boring , sad man being boring and sad .
0	at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two .
1	has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal's overweight and out of shape .
0	if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar-nominated documentary takes you there .
1	a small fortune in salaries and stunt cars might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) .
1	a standard police-oriented drama that , were it not for de niro's participation , would have likely wound up a tnt original .
0	a weird and wonderful comedy .
1	in exactly 89 minutes , most of which passed as slowly as if i'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .
1	the story itself is actually quite vapid .
1	reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .
0	kinnear gives a tremendous performance .
1	jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .
1	it cannot be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . yes , dull .
1	works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .
1	summer's far too fleeting to squander on offal like this .
1	sunshine state surveys the landscape and assesses the issues with a clear passion for sociology . but the cinematography is cloudy , the picture making becalmed .
1	another rent installment for the ian fleming estate .
1	the gifted crudup has the perfect face to play a handsome blank yearning to find himself , and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him .
0	spare yet audacious . . .
1	whereas last year's exemplary sexy beast seemed to revitalize the british gangster movie , this equally brutal outing merely sustains it .
1	it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through .
1	feels at times like a giant commercial for universal studios , where much of the action takes place .
1	doesn't amount to much of anything .
0	unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropolis never seems hopelessly juvenile .
1	the film's tone and pacing are off almost from the get-go .
0	it's a remarkably solid and subtly satirical tour de force .
1	judd's characters ought to pick up the durable best seller smart women , foolish choices for advice .
0	it's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .
1	just not campy enough
1	it may play well as a double feature with mainstream foreign mush like my big fat greek wedding
1	what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety .
0	" the mothman prophecies " is a difficult film to shake from your conscience when night falls .
0	the cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing .
1	although there are several truly jolting scares , there's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at .
0	if it's possible for a sequel to outshine the original , then sl2 does just that .
1	my own minority report is that it stinks .
0	marshall puts a suspenseful spin on standard horror flick formula .
1	eight legged freaks won't join the pantheon of great monster/science fiction flicks that we have come to love . . .
1	an often-deadly boring , strange reading of a classic whose witty dialogue is treated with a baffling casual approach
0	maud and roland's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy .
1	given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors' workshop that it is .
1	a sometimes tedious film .
0	. . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .
0	even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .
0	an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .
1	it's not original , and , robbed of the element of surprise , it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks .
1	this is a good movie in spurts , but when it doesn't work , it's at important times .
0	an impeccable study in perversity .
0	the performances are remarkable .
1	here's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .
1	nothing about the film -- with the possible exception of elizabeth hurley's breasts -- is authentic .
1	the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe .
0	worth seeing just for weaver and lapaglia .
1	once again , director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours .
0	'enigma' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of 'we were soldiers . '
0	[the digital effects] reminded me of terry gilliam's rudimentary old monty python cartoons , in which he would cut out figures from drawings and photographs and paste them together .
0	a literary detective story is still a detective story and aficionados of the whodunit won't be disappointed .
1	a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .
1	an easy watch , except for the annoying demeanour of its lead character .
1	gussied up with so many distracting special effects and visual party tricks that it's not clear whether we're supposed to shriek or laugh .
1	. . . another example of how sandler is losing his touch .
0	sum " is jack ryan's " do-over . " give credit to everyone from robinson down to the key grip that this bold move works . especially give credit to affleck .
0	the actors are so terrific at conveying their young angst , we do indeed feel for them .
1	'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .
0	vividly conveys the shadow side of the 30-year friendship between two english women .
0	romantic comedy and dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here .
1	it is so earnest , so overwrought and so wildly implausible that it begs to be parodied .
1	a well-intentioned effort that's still too burdened by the actor's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .
1	its over-reliance on genre conventions , character types and formulaic conflict resolutions crushes all the goodwill it otherwise develops .
0	the movie is ingenious fun . see it .
0	after making several adaptations of other writers' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject .
1	a " home alone " film that is staged like " rosemary's baby , " but is not as well-conceived as either of those films .
0	it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight .
1	strictly a 'guy's film' in the worst sense of the expression .
1	one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .
1	like being invited to a classy dinner soiree and not knowing anyone . you leave the same way you came -- a few tasty morsels under your belt , but no new friends .
1	one of those staggeringly well-produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily .
0	crackerjack entertainment -- nonstop romance , music , suspense and action .
1	children , christian or otherwise , deserve to hear the full story of jonah's despair -- in all its agonizing , catch-22 glory -- even if they spend years trying to comprehend it .
1	this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast .
0	as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .
1	a better title , for all concerned , might be swept under the rug .
0	the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm
1	a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes .
1	thoroughly awful .
0	andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance .
0	too often , son of the bride becomes an exercise in trying to predict when a preordained " big moment " will occur and not " if . "
1	wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : totally past his prime .
1	releasing a film with the word 'dog' in its title in january lends itself to easy jokes and insults , and snow dogs deserves every single one of them .
0	an unexpectedly sweet story of sisterhood .
0	you'd have to be a most hard-hearted person not to be moved by this drama .
0	for the most part , it works beautifully as a movie without sacrificing the integrity of the opera .
1	the film has a childlike quality about it . but the feelings evoked in the film are lukewarm and quick to pass .
1	at times , the suspense is palpable , but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .
0	secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .
0	ozpetek's effort has the scope and shape of an especially well-executed television movie .
0	none of his actors stand out , but that's less of a problem here than it would be in another film : characterization matters less than atmosphere .
0	for those in search of something different , wendigo is a genuinely bone-chilling tale .
0	a fine production with splendid singing by angela gheorghiu , ruggero raimondi , and roberto alagna .
0	lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child's interest and an adult's patience . but it also has many of the things that made the first one charming .
0	greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders .
1	while van wilder may not be the worst national lampoon film , it's far from being this generation's animal house .
0	. . . in no way original , or even all that memorable , but as downtown saturday matinee brain candy , it doesn't disappoint .
1	the result is an 'action film' mired in stasis .
1	scotland , pa . is a strangely drab romp . some studio pizazz might have helped .
1	despite apparent motives to the contrary , it ends up being , like [seinfeld's] revered tv show , about pretty much nothing .
1	who needs love like this ?
1	this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines .
1	with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .
0	murderous maids pulls no punches in its depiction of the lives of the papin sister and the events that led to their notorious rise to infamy . . .
1	helmer devito . . . attempts to do too many things in this story about ethics , payola , vice , murder , kids' tv and revenge .
1	ja rule and kurupt should have gotten to rap . it would have benefitted the dialogue .
0	winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .
1	maybe it's the star power of the cast or the redundant messages , but something aboul " full frontal " seems , well , contrived .
1	despite a blue-chip cast and a provocative title , writer-director peter mattei's first feature microwaves dull leftover romantic motifs basted in faux-contemporary gravy .
1	it doesn't matter that the film is less than 90 minutes . it still feels like a prison stretch .
0	reassuring , retro uplifter .
0	elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .
1	kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .
1	the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops , but there's not enough to the story to fill two hours .
0	yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .
1	animated drivel meant to enhance the self-image of drooling idiots .
0	u . s . audiences may find [attal and gainsbourg's] unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .
0	'film aficionados cannot help but love cinema paradiso , whether the original version or new director's cut . '
0	it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .
0	a low-key labor of love that strikes a very resonant chord .
1	'linklater fans , or pretentious types who want to appear avant-garde will suck up to this project . . . '
1	due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a teleprompter .
1	rob schneider's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian .
0	the film grows on you . and how .
0	will you go ape over this movie ? well , it probably won't have you swinging from the trees hooting it's praises , but it's definitely worth taking a look .
0	not only does spider-man deliver , but i suspect it might deliver again and again .
1	haneke keeps us at arm's length . guided more by intellect than heart , his story flattens instead of sharpens .
0	a brilliant gag at the expense of those who paid for it and those who pay to see it .
1	throw smoochy from the train !
1	there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .
1	roman polanski directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion .
0	could this be the first major studio production shot on video tape instead of film ?
1	a very depressing movie of many missed opportunities .
0	argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she's cut open a vein and bled the raw film stock .
0	the storytelling may be ordinary , but the cast is one of those all-star reunions that fans of gosford park have come to assume is just another day of brit cinema .
0	fans of behan's work and of irish movies in general will be rewarded by borstal boy .
0	as weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .
0	this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .
0	the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another .
0	[ramsay] visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .
1	ringu is a disaster of a story , full of holes and completely lacking in chills . ignore the reputation , and ignore the film .
0	for once , a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own .
1	this low-rent -- and even lower-wit -- rip-off of the farrelly brothers' oeuvre gets way too mushy -- and in a relatively short amount of time .
0	hashiguchi vividly captures the way young japanese live now , chafing against their culture's manic mix of millennial brusqueness and undying , traditional politesse .
1	don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .
0	the year 2002 has conjured up more coming-of-age stories than seem possible , but take care of my cat emerges as the very best of them .
1	plays as hollow catharsis , with lots of tears but very little in the way of insights .
1	the end result is like cold porridge with only the odd enjoyably chewy lump .
1	just like hearst's enormous yacht , it's slow and unwieldy and takes a long time to reach its destination .
1	by the time the surprise ending is revealed , interest cannot be revived .
0	a compelling yarn , but not quite a ripping one .
1	the movie is so thoughtlessly assembled .
0	unlike the nauseating fictions peddled by such 'have-yourself-a-happy-little-holocaust' movies as life is beautiful and jakob the liar , the grey zone is honest enough to deny the possibility of hope in auschwitz .
1	i don't mind having my heartstrings pulled , but don't treat me like a fool .
0	one scarcely needs the subtitles to enjoy this colorful action farce .
0	light , cute and forgettable .
1	it smacks of purely commercial motivation , with no great love for the original .
0	this is carion's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach .
0	they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't avert our eyes for a moment .
1	just an average comedic dateflick but not a waste of time .
0	the film has a terrific look and salma hayek has a feel for the character at all stages of her life .
1	sit through this one , and you won't need a magic watch to stop time ; your dvd player will do it for you .
1	with the cheesiest monsters this side of a horror spoof , which they isn't , it is more likely to induce sleep than fright .
0	more timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food .
1	gets better after foster leaves that little room .
1	despite the surface attractions -- conrad l . hall's cinematography will likely be nominated for an oscar next year -- there's something impressive and yet lacking about everything .
0	a heroic tale of persistence that is sure to win viewers' hearts .
1	the pairing does sound promising in theory . . . but their lack of chemistry makes eddie murphy and robert deniro in showtime look like old , familiar vaudeville partners .
1	eventually arrives at its heart , as simple self-reflection meditation .
0	for those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed .
0	[director peter] jackson and his crew have so steeped themselves in the majesty of tolkien's writing that every frame produces new joys , whether you're a fan of the books or not .
1	don't expect any subtlety from this latest entry in the increasingly threadbare gross-out comedy cycle .
0	abderrahmane sissako's heremakono ( waiting for happiness ) is an elegiac portrait of a transit city on the west african coast struggling against foreign influences .
1	[the kid's] just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .
0	audacious-impossible yet compelling . . .
1	other than a mildly engaging central romance , hospital is sickly entertainment at best and mind-destroying cinematic pollution at worst .
1	sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours .
1	they do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film .
1	payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .
0	it's immensely ambitious , different than anything that's been done before and amazingly successful in terms of what it's trying to do .
0	the movie stays afloat thanks to its hallucinatory production design .
1	it appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .
1	what was subtle and mystifying in the novella is now broad and farcical .
0	in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .
1	the film's thoroughly recycled plot and tiresome jokes . . . drag the movie down .
0	apart from its own considerable achievement , metropolis confirms tezuka's status as both the primary visual influence on the animé tradition and its defining philosophical conscience .
1	the best you can say about it is it's so uninspired , it barely gives one pause when considering some of the other dreck out there right now .
1	a waste of fearless purity in the acting craft .
0	a worthwhile way to spend two hours .
1	it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time .
1	de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal .
1	hey arnold ! the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ain't pretty .
1	avary's film never quite emerges from the shadow of ellis' book .
1	nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .
0	from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right .
1	makes a joke out of car chases for an hour and then gives us half an hour of car chases .
0	the drama is played out with such aching beauty and truth that it brings tears to your eyes .
1	the messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated old testament tale of jonah and the whale . determined to be fun , and bouncy , with energetic musicals , the humor didn't quite engage this adult .
1	the performances are so leaden , michael rymer's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .
1	it all drags on so interminably it's like watching a miserable relationship unfold in real time .
1	it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .
0	this is unusual , food-for-thought cinema that's as entertaining as it is instructive .
1	you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story .
1	chalk it up as the worst kind of hubristic folly .
0	a pleasant piece of escapist entertainment .
1	impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .
1	the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .
1	just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .
0	time out is existential drama without any of the pretension associated with the term .
1	demeo is not without talent ; he just needs better material .
0	the audacity to view one of shakespeare's better known tragedies as a dark comedy is , by itself , deserving of discussion .
0	it's burns' visuals , characters and his punchy dialogue , not his plot , that carry waydowntown .
0	disappointingly , the characters are too strange and dysfunctional , tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .
0	by the time we learn that andrew's turnabout is fair play is every bit as awful as borchardt's coven , we can enjoy it anyway .
0	darkly funny and frequently insightful .
0	this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .
0	for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out .
1	if this disposable tissue has one wild card , it's john turturro , who's simply fab as a spanish butler with a foot fetish .
1	an uninspired preachy and clichéd war film .
1	disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .
0	this is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative . mr . scorsese's bravery and integrity in advancing this vision can hardly be underestimated .
1	naipaul fans may be disappointed . those who are not acquainted with the author's work , on the other hand , may fall fast asleep .
0	most of the things that made the original men in black such a pleasure are still there .
1	the filmmakers needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they won't much care about .
